[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.147269s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011031s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.044500s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000161s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000107s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000133s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.031530s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_end ] --START--
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000464s ]
[ 2014-03-22T00:07:22+08:00 ] /music/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000550s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000501s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000582s ]
[ 2014-03-22T00:07:28+08:00 ] /music/ | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-03-22T00:07:28+08:00 ] /music/ | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-03-22T00:07:28+08:00 ] /music/ | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-03-22T00:07:28+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
