[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001370s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001580s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000566s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000655s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.005935s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006014s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000341s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000384s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000238s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000448s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001587s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000123s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.007817s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002127s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.001979s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_filter ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ContentReplace Behavior [ RunTime:0.000081s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run TokenBuild Behavior [ RunTime:0.000093s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000128s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.002595s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_end ] --START--
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000415s ]
[ 2014-03-23T00:00:41+08:00 ] /music/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000478s ]
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Tag[ app_begin ] --START--
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001239s ]
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001424s ]
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Tag[ view_template ] --START--
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001569s ]
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001761s ]
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Tag[ view_parse ] --START--
[ 2014-03-23T00:00:43+08:00 ] /music/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011315s ]
