[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000248s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.015090s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004175s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.004006s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run ContentReplace Behavior [ RunTime:0.000150s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run TokenBuild Behavior [ RunTime:0.000161s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000029s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000282s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.005066s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ view_end ] --START--
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000721s ]
[ 2014-04-21T11:18:07+08:00 ] /xydj/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000826s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ app_begin ] --START--
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001016s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001179s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | NOTIC: [2] mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'root'@'localhost' (using password: YES) SessionDb.class.php 第 60 行.
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | NOTIC: [2] mysql_select_db() expects parameter 2 to be resource, boolean given SessionDb.class.php 第 61 行.
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | NOTIC: [2] mysql_query() expects parameter 2 to be resource, null given SessionDb.class.php 第 91 行.
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_template ] --START--
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run LocationTemplate Behavior [ RunTime:0.000978s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001103s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_parse ] --START--
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ParseTemplate Behavior [ RunTime:0.057723s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.057881s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_filter ] --START--
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ContentReplace Behavior [ RunTime:0.000676s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run TokenBuild Behavior [ RunTime:0.000701s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000474s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ShowRuntime Behavior [ RunTime:0.000858s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003036s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_end ] --START--
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ShowPageTrace Behavior [ RunTime:0.000791s ]
[ 2014-04-21T11:18:09+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ view_end ] --END-- [ RunTime:0.000909s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ app_begin ] --START--
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001054s ]
[ 2014-04-21T11:18:11+08:00 ] /xydj/Index.php?m=Index&a=show_panel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001290s ]
